retry: 3000

id: market:v1:top-fees:56:1:1:1:4972ae2ff69f5416
event: pools.snapshot
data: {"data":{"rows":[{"fdvUsd":"12001000","feeTvl":"0.00417079207920792079207920792079207920792079207920792079207920792079207920792079207920792079207921","poolId":null,"tvlUsd":"10100","chainId":56,"feesUsd":"42.125","protocol":"univ3","volumeUsd":"9000.75","poolAddress":"0x4242424242424242424242424242424242424242","activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"1"},{"fdvUsd":"12004000","feeTvl":"0","poolId":null,"tvlUsd":"10400","chainId":56,"feesUsd":"0","protocol":"pcsv3","volumeUsd":"0","poolAddress":"0x4141414141414141414141414141414141414141","activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"0"},{"fdvUsd":"12002000","feeTvl":"0","poolId":"0x4343434343434343434343434343434343434343434343434343434343434343","tvlUsd":"10200","chainId":56,"feesUsd":"0","protocol":"pcsv4","volumeUsd":"0","poolAddress":null,"activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"0"},{"fdvUsd":"12003000","feeTvl":"0","poolId":"0x4444444444444444444444444444444444444444444444444444444444444444","tvlUsd":"10300","chainId":56,"feesUsd":"0","protocol":"univ4","volumeUsd":"0","poolAddress":null,"activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"0"}],"chainId":56,"minutes":1,"version":"1","windowEnd":"2026-08-16T00:01:00.000Z","generatedAt":"2026-08-16T00:01:00.000Z","windowStart":"2026-08-16T00:00:00.000Z"},"mode":"snapshot","epoch":"1","cursor":"market:v1:top-fees:56:1:1:1:4972ae2ff69f5416","sequence":"1","emittedAt":"2026-08-16T00:01:00.000Z","eventType":"pools.snapshot","streamKey":"top-fees:56:1","schemaVersion":"1.0.0"}

id: market:v1:top-fees:56:1:1:2:51cef7da8f0bb860
event: pools.diff
data: {"data":{"upserts":[{"fdvUsd":"5000000","feeTvl":"0","poolId":"0x4444444444444444444444444444444444444444444444444444444444444444","tvlUsd":"1000","chainId":56,"feesUsd":"0","protocol":"univ4","volumeUsd":"0","poolAddress":null,"activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"0"}],"version":"2","tombstones":[]},"mode":"diff","epoch":"1","cursor":"market:v1:top-fees:56:1:1:2:51cef7da8f0bb860","sequence":"2","emittedAt":"2026-08-16T00:01:00.000Z","eventType":"pools.diff","streamKey":"top-fees:56:1","schemaVersion":"1.0.0"}

id: market:v1:top-fees:56:1:1:3:4972ae2ff69f5416
event: pools.diff
data: {"data":{"upserts":[],"version":"3","tombstones":["56:0x4444444444444444444444444444444444444444444444444444444444444444"]},"mode":"diff","epoch":"1","cursor":"market:v1:top-fees:56:1:1:3:4972ae2ff69f5416","sequence":"3","emittedAt":"2026-08-16T00:01:00.000Z","eventType":"pools.diff","streamKey":"top-fees:56:1","schemaVersion":"1.0.0"}

id: market:v1:top-fees:56:1:1:4:5d739d3a393aa1a5
event: pools.diff
data: {"data":{"upserts":[{"fdvUsd":"4500000","feeTvl":"0","poolId":"0x4444444444444444444444444444444444444444444444444444444444444444","tvlUsd":"900","chainId":56,"feesUsd":"0","protocol":"univ4","volumeUsd":"0","poolAddress":null,"activeTvlUsd":null,"feeActiveTvl":null,"token0Symbol":"WBNB","token1Symbol":"USDT","transactionCount":"0"}],"version":"4","tombstones":[]},"mode":"diff","epoch":"1","cursor":"market:v1:top-fees:56:1:1:4:5d739d3a393aa1a5","sequence":"4","emittedAt":"2026-08-16T00:01:00.000Z","eventType":"pools.diff","streamKey":"top-fees:56:1","schemaVersion":"1.0.0"}

